Section,Metric,Response
Summary Information,Software name? (string),SOFA (Simulation Open Framework Architecture)
Summary Information,URL? (URL),https://www.sofa-framework.org
Summary Information,Affiliation (institution(s)) (string or N/A),"Inria (France); four active Inria teams: Mimesis, Imagine, Defrost, Asclepios; founded 2006 by Inria alongside USTL, UJF, CNRS, and MGH (Massachusetts General Hospital)"
Summary Information,Software purpose (string),"Open-source real-time medical simulation and interactive simulation framework; provides component-based architecture for deformable object simulation, finite element methods, collision detection, and haptic feedback; primary applications in surgical simulation, medical education, and soft robotics"
Summary Information,Number of developers (all developers that have contributed at least one commit to the project) (use repo commit logs) (number),30+ (GitHub contributors listed in Authors.txt; four active Inria research teams)
Summary Information,"How is the project funded? (unfunded, unclear, funded∗) where ∗ requires a string to say the source of funding","funded (Inria institutional support; EU research projects; Inria teams Mimesis, Imagine, Defrost, Asclepios all contribute)"
Summary Information,Initial release date? (date),2006 (founded by Inria, USTL, UJF, CNRS, and MGH; first public release circa 2007)
Summary Information,Last commit date? (date),2025-01 (actively developed; regular releases on GitHub)
Summary Information,Status? (alive is defined as presence of commits in the last 18 months) (alive, dead, unclear),alive
Summary Information,"License? (GNU GPL, BSD, MIT, terms of use, trial, none, unclear, other∗) ∗ given via a string","other (LGPL 2.1+ for core; GPL 2.0+ for applications/projects and applications/tutorials folders; individual plugins may carry different licenses)"
Summary Information,"Platforms? (set of Windows, Linux, OS X, Android, other∗) ∗ given via string","Windows, Linux, OS X"
Summary Information,"Software Category? The concept category includes software that does not have an officially released version. Public software has a released version in the public domain. Private software has a released version available to authorized users only. (concept, public, private)",public
Summary Information,"Development model? (open source, freeware, commercial, unclear)",open source
Summary Information,Publications about the software? Refers to publications that have used or mentioned the software. (number or unknown),unknown (Faure et al. 2012 MICCAI paper; hundreds of surgical simulation papers in IEEE TVCG, Medical Image Analysis, and similar journals)
Summary Information,"Source code URL? (set of url, n/a, unclear)",https://github.com/sofa-framework/sofa
Summary Information,"Programming language(s)? (set of FORTRAN, Matlab, C, C++, Java, R, Ruby, Python, Cython, BASIC, Pascal, IDL, unclear, other∗) ∗ given via string","C++, Python (Python bindings via SofaPython3)"
